forecast_hour,target,mae
1,carts,3012.064453125
1,orders,1061.0960693359375
2,carts,2612.39794921875
2,orders,867.3981323242188
3,carts,2431.954345703125
3,orders,881.9899291992188
4,carts,3203.4111328125
4,orders,930.0769653320312
5,carts,3299.580078125
5,orders,1168.583740234375
6,carts,3010.7958984375
6,orders,1078.0753173828125
7,carts,2890.216796875
7,orders,1027.776611328125
8,carts,2979.793701171875
8,orders,989.1422119140625
9,carts,2876.977783203125
9,orders,1022.1732788085938
10,carts,2822.627685546875
10,orders,904.3211669921875
11,carts,3111.390625
11,orders,829.8341064453125
12,carts,3072.94287109375
12,orders,977.1571044921875
13,carts,3184.297119140625
13,orders,991.3848266601562
14,carts,3325.067626953125
14,orders,1057.189453125
15,carts,3311.363037109375
15,orders,1061.106201171875
16,carts,3165.08056640625
16,orders,1042.3468017578125
17,carts,3649.636962890625
17,orders,1054.746826171875
18,carts,3505.239501953125
18,orders,1013.2354736328125
19,carts,3286.1259765625
19,orders,1038.9014892578125
20,carts,3669.3857421875
20,orders,1219.630859375
21,carts,3896.212646484375
21,orders,1174.9556884765625
22,carts,3443.07666015625
22,orders,1241.3802490234375
23,carts,3515.5458984375
23,orders,1220.093994140625
24,carts,3396.237060546875
24,orders,1155.963623046875
