phase,fold,seed,model,target,mae,rmse,wape,smape,mape,bias,mase,rmsse
cv,1,,Ridge,carts,3105.4099315831613,4273.034616601332,0.11552859314544549,0.11669262482313135,0.12844348611997783,2958.648940414421,0.851268262916044,0.7455171019030421
cv,1,,Ridge,orders,1092.576546465677,1487.947319294561,0.12763448975372382,0.1325683548524725,0.13721206262771082,260.73019503731325,0.744636170402053,0.6440571484257452
cv,1,,Extra Trees,carts,3642.1342674543384,4599.662988812497,0.1354960076885261,0.13562095633023388,0.14131337887494255,-650.7415707100665,0.9983974352726529,0.8025040115115242
cv,1,,Extra Trees,orders,1388.08715642592,1807.8577069621863,0.16215595741756605,0.15937467948531914,0.16238605123895375,-538.3611542671197,0.9460388909947587,0.7825301772495544
cv,1,,Persistence,carts,20750.305,25078.674174585067,0.7719604164358311,0.8586805001143066,2.2270812942487774,2370.9483333333333,5.68816242669863,4.37548069879156
cv,1,,Persistence,orders,6978.115,8456.240990436196,0.8151814628905599,0.9284535511354515,2.8706890212774616,428.56166666666667,4.75587440260723,3.660279089237742
cv,1,,Seasonal naive 24h,carts,6222.473333333333,7877.461729728259,0.23149072293929435,0.2338427257133669,0.24177305356609216,-817.4133333333333,1.7057310249560595,1.3743821349545267
cv,1,,Seasonal naive 24h,orders,2456.6183333333333,3212.92729013071,0.2869814737547942,0.3049491173134939,0.27897352894955696,-1075.9016666666666,1.674287146095419,1.3907137448669256
cv,1,,Seasonal naive 168h,carts,3695.7816666666668,4883.689555551213,0.1374918178048906,0.12497016809919342,0.13603710150959447,3690.345,1.0131034899783389,0.8520581766184141
cv,1,,Seasonal naive 168h,orders,1055.2366666666667,1368.7054431103868,0.12327245533057159,0.11679849940381316,0.12336769892848935,623.4333333333333,0.7191874957194855,0.5924433703354527
cv,1,,Seasonal blend 24h+168h,carts,3036.724166666667,4598.742477795787,0.11297332026207578,0.1260886580327696,0.13815303756906075,1436.4658333333334,0.832439827032954,0.8023434097923664
cv,1,,Seasonal blend 24h+168h,orders,1340.3108333333332,1944.1445101252118,0.15657474057746715,0.1696914214361567,0.16747326574110835,-226.23416666666665,0.9134773479352467,0.8415218422601505
cv,1,42,Transformer,carts,3411.806034749349,4847.396248035347,0.1269272527504241,0.12618092602637265,0.13701939972861354,2107.482341715495,0.9352588742211204,0.8457260768660313
cv,1,42,Transformer,orders,1112.6865314229328,1648.5052132748585,0.1299837326303693,0.14055842222718362,0.1501773588925913,481.62521845499674,0.7583419580961551,0.7135545412522734
cv,1,123,Transformer,carts,2885.6396537272135,4046.156953100506,0.10735261909523776,0.11651989194403498,0.12390658808383091,1141.4220471191406,0.7910238936402516,0.7059337160061592
cv,1,123,Transformer,orders,1140.0107246398925,1582.379800454647,0.13317573731915783,0.1439768450723768,0.15377411358157164,252.64462071736654,0.7769645275282199,0.684932194031236
cv,1,2026,Transformer,carts,3549.0754315185545,5120.060693409061,0.13203399892566595,0.1316535213148143,0.14442950791765732,2532.5711138916017,0.9728877488346831,0.8932978906578637
cv,1,2026,Transformer,orders,1277.4001000467936,1876.0015865420232,0.14922552612742737,0.15212862955175127,0.16460545400789467,611.8343740336101,0.8706010774686946,0.8120262166561545
cv,1,3407,Transformer,carts,3818.0788924153644,5513.682096843882,0.14204156381189684,0.13681546828953622,0.14942988508748012,3271.347609049479,1.0466281289845232,0.9619730862192654
