phase,fold,model,selected_alpha,validation_scaled_mae,runtime_seconds,seed,parameter_count,best_epoch,best_validation_loss,device
cv,1,Ridge,100.0,0.07919741090605806,,,,,,
cv,1,Extra Trees,,,15.624922031000096,,,,,
cv,1,Transformer,,,5.9154812700001,42.0,37264.0,53.0,0.006559829693287611,cuda
cv,1,Transformer,,,5.624888412000018,123.0,37264.0,57.0,0.006145574618130922,cuda
cv,1,Transformer,,,7.296177066999917,2026.0,37264.0,80.0,0.006758578587323427,cuda
cv,1,Transformer,,,6.916060461999905,3407.0,37264.0,71.0,0.011717119254171848,cuda
cv,1,Transformer,,,5.990757166000094,9999.0,37264.0,63.0,0.006847519427537918,cuda
cv,1,GRU,,,2.552380360999905,42.0,31920.0,58.0,0.005504810716956854,cuda
cv,1,GRU,,,2.4897623620001923,123.0,31920.0,58.0,0.005719665437936783,cuda
cv,1,GRU,,,4.222759873000086,2026.0,31920.0,88.0,0.0060630375519394875,cuda
cv,1,GRU,,,3.2909852569998748,3407.0,31920.0,86.0,0.005887709092348814,cuda
cv,1,GRU,,,2.8646757380001873,9999.0,31920.0,72.0,0.005236252211034298,cuda
cv,2,Ridge,100.0,0.1122708599596312,,,,,,
cv,2,Extra Trees,,,16.723543707999852,,,,,
cv,2,Transformer,,,8.289179301000104,42.0,37264.0,77.0,0.011830059811472893,cuda
cv,2,Transformer,,,10.56911997799989,123.0,37264.0,110.0,0.008794685825705528,cuda
cv,2,Transformer,,,7.047832743000072,2026.0,37264.0,72.0,0.0107464250177145,cuda
cv,2,Transformer,,,8.84226148300013,3407.0,37264.0,83.0,0.016190430149435997,cuda
cv,2,Transformer,,,6.11477385000012,9999.0,37264.0,62.0,0.01734403520822525,cuda
cv,2,GRU,,,5.017913379999982,42.0,31920.0,97.0,0.006845410913228989,cuda
cv,2,GRU,,,3.965533624000045,123.0,31920.0,95.0,0.005570427980273962,cuda
cv,2,GRU,,,2.724292539000089,2026.0,31920.0,61.0,0.007200425490736961,cuda
cv,2,GRU,,,4.4091226759999245,3407.0,31920.0,91.0,0.006422125734388828,cuda
cv,2,GRU,,,3.8272480809998797,9999.0,31920.0,80.0,0.006475990172475576,cuda
cv,3,Ridge,100.0,0.12339317369612089,,,,,,
cv,3,Extra Trees,,,17.65118104499993,,,,,
cv,3,Transformer,,,8.591617657999905,42.0,37264.0,70.0,0.014153745025396347,cuda
cv,3,Transformer,,,7.432236442000203,123.0,37264.0,70.0,0.012910804711282253,cuda
cv,3,Transformer,,,7.199316953999869,2026.0,37264.0,56.0,0.015896787866950035,cuda
cv,3,Transformer,,,5.570571940000036,3407.0,37264.0,49.0,0.01676938496530056,cuda
cv,3,Transformer,,,8.143141197999967,9999.0,37264.0,66.0,0.017284488305449486,cuda
cv,3,GRU,,,1.985470591999956,42.0,31920.0,34.0,0.01597476378083229,cuda
cv,3,GRU,,,2.740906419000112,123.0,31920.0,55.0,0.01503242552280426,cuda
cv,3,GRU,,,2.419658916999879,2026.0,31920.0,45.0,0.014811943285167217,cuda
cv,3,GRU,,,2.709996781999962,3407.0,31920.0,40.0,0.014597426168620586,cuda
cv,3,GRU,,,2.363734873000112,9999.0,31920.0,34.0,0.015189062803983688,cuda
holdout,0,Ridge,100.0,0.1601994002290625,,,,,,
holdout,0,Extra Trees,,,17.82363967299989,,,,,
holdout,0,Transformer,,,5.645095772000104,42.0,37264.0,45.0,0.0175364225694578,cuda
holdout,0,Transformer,,,4.578442287999906,123.0,37264.0,26.0,0.02622025151264994,cuda
holdout,0,Transformer,,,8.420104775000027,2026.0,37264.0,77.0,0.019437987000158388,cuda
holdout,0,Transformer,,,6.479318297999953,3407.0,37264.0,47.0,0.019388064372110856,cuda
holdout,0,Transformer,,,5.315526261000059,9999.0,37264.0,43.0,0.026521226620837432,cuda
holdout,0,GRU,,,2.2568306580001263,42.0,31920.0,32.0,0.01735850475881606,cuda
holdout,0,GRU,,,3.6426903980000134,123.0,31920.0,54.0,0.01951571658559858,cuda
holdout,0,GRU,,,2.0565982770001483,2026.0,31920.0,34.0,0.019849380605841335,cuda
holdout,0,GRU,,,2.062358108000126,3407.0,31920.0,34.0,0.017490302837670665,cuda
holdout,0,GRU,,,2.4264572649999536,9999.0,31920.0,43.0,0.017450951511831316,cuda
