model,forecast_hour,target,mae,rmse,bias
Seasonal naive 168h,1,carts,2375.698630136986,3467.3931505201385,-199.2054794520548
Seasonal naive 168h,1,orders,772.7808219178082,1073.4252499001911,14.342465753424657
Seasonal naive 168h,2,carts,2246.5068493150684,3284.882777667066,-68.53424657534246
Seasonal naive 168h,2,orders,743.9589041095891,1040.0412070340133,43.16438356164384
Seasonal naive 168h,3,carts,2238.1917808219177,3283.331982013027,-85.31506849315069
Seasonal naive 168h,3,orders,739.5205479452055,1039.2172568088517,37.87671232876713
Seasonal naive 168h,4,carts,2229.5479452054797,3282.222136096966,-96.86301369863014
Seasonal naive 168h,4,orders,739.986301369863,1039.2571438094155,38.342465753424655
Seasonal naive 168h,5,carts,2222.5753424657532,3281.1905999841974,-110.16438356164383
Seasonal naive 168h,5,orders,739.4794520547945,1039.152526149429,32.465753424657535
Seasonal naive 168h,6,carts,2223.753424657534,3281.330982040463,-120.87671232876713
Seasonal naive 168h,6,orders,739.1506849315068,1039.1268990497585,30.246575342465754
Seasonal naive 168h,7,carts,2234.4109589041095,3283.0227176161243,-135.15068493150685
Seasonal naive 168h,7,orders,740.054794520548,1039.159091014632,29.232876712328768
Seasonal naive 168h,8,carts,2260.945205479452,3294.2822050600557,-173.3835616438356
Seasonal naive 168h,8,orders,744.8630136986301,1041.4400264859823,15.712328767123287
Seasonal naive 168h,9,carts,2305.917808219178,3324.55232952962,-234.41095890410958
Seasonal naive 168h,9,orders,753.2465753424658,1047.9082164660158,-6.36986301369863
Seasonal naive 168h,10,carts,2345.054794520548,3348.2884546201312,-289.8493150684931
Seasonal naive 168h,10,orders,764.1506849315068,1055.9314332762435,-27.575342465753426
Seasonal naive 168h,11,carts,2397.780821917808,3401.291177072742,-342.5753424657534
Seasonal naive 168h,11,orders,782.6849315068494,1072.5890198391237,-46.10958904109589
Seasonal naive 168h,12,carts,2402.5616438356165,3408.3799128232445,-347.35616438356163
Seasonal naive 168h,12,orders,792.8082191780821,1087.924963417697,-56.23287671232877
Seasonal naive 168h,13,carts,2503.3150684931506,3519.7333141503386,-448.1095890410959
Seasonal naive 168h,13,orders,815.4109589041096,1110.5027431149163,-86.31506849315069
Seasonal naive 168h,14,carts,2571.8630136986303,3642.996038563081,-624.5479452054794
Seasonal naive 168h,14,orders,841.6986301369863,1166.0107967262531,-152.16438356164383
Seasonal naive 168h,15,carts,2604.5616438356165,3681.9356713108436,-744.0410958904109
Seasonal naive 168h,15,orders,853.3561643835617,1183.8060455263173,-201.3013698630137
Seasonal naive 168h,16,carts,2632.7123287671234,3712.0092332785493,-852.2465753424658
Seasonal naive 168h,16,orders,859.5890410958904,1191.4186202872286,-241.04109589041096
Seasonal naive 168h,17,carts,2627.5753424657532,3705.879798670186,-973.4931506849315
Seasonal naive 168h,17,orders,868.3972602739726,1206.9645895998544,-299.027397260274
Seasonal naive 168h,18,carts,2635.2876712328766,3716.520824789751,-1113.7808219178082
Seasonal naive 168h,18,orders,878.5890410958904,1224.4190850727584,-356.06849315068496
Seasonal naive 168h,19,carts,2649.6027397260273,3733.696484498461,-1236.2328767123288
Seasonal naive 168h,19,orders,900.2739726027397,1259.0060006167728,-410.32876712328766
Seasonal naive 168h,20,carts,2689.123287671233,3805.7144199972945,-1424.4383561643835
Seasonal naive 168h,20,orders,922.8219178082192,1305.3788617113194,-482.5753424657534
Seasonal naive 168h,21,carts,2722.3698630136987,3865.5527046373027,-1613.5753424657535
Seasonal naive 168h,21,orders,961.2054794520548,1391.6795214455658,-565.6438356164383
Seasonal naive 168h,22,carts,2723.821917808219,3868.8434096984492,-1853.6849315068494
Seasonal naive 168h,22,orders,973.027397260274,1419.1395955933376,-655.082191780822
Seasonal naive 168h,23,carts,2691.698630136986,3817.602087519093,-2021.6438356164383
Seasonal naive 168h,23,orders,963.6027397260274,1400.3335561548008,-732.1506849315068
Seasonal naive 168h,24,carts,2628.7671232876714,3768.792474033131,-2102.246575342466
Seasonal naive 168h,24,orders,942.6164383561644,1388.4285144457483,-753.8219178082192
